Dr. Sudhindra,dr-sudhindra-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Pradheep,dr-pradheep-family-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Chinmayi C,dr-chinmayi-c-1-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. A Vijaya Vardhan,dr-a-vijaya-vardhan-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Rajendra Narayan Sharma,dr-rajendra-narayan-sharma-internal-medicine-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Chetan S,dr-chetan-s-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Avijit Banerjee,dr-avijit-banerjee-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Kanchan Govindraj,dr-kanchan-govindraj-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Mohan Badagandi,dr-mohan-badagandi-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Dinesh V Kamath,dr-dinesh-v-kamath-diabetologist-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Balaji Jaganmohan,dr-balaji-jaganmohan-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Arjun Anand,dr-arjun-anand-1-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Prabha Ramadorai,dr-prabha-ramadorai-general-physician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Pankaj Singhai,dr-pankaj-singhai-1-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Devika Vani Vadaka,dr-devika-vani-vadaka-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ramesh Kumar R N,dr-ramesh-kumar-r-n-dermatologist-cosmetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. K Onkarappa,dr-k-onkarappa-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Suchismitha,dr-suchi-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Neepu Gowda R,dr-neepu-gowda-r-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Lakshmikanth N,dr-lakshmikanth-n-general-physician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sandhya Vijay,dr-sandhya-vijay-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vikram B Patil Okaly,dr-vikram-b-patil-okaly-cardiologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Akshatha K Gowda,akshatha-k-gowda-general-physician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Shivaji Rao C S,dr-shivaji-rao-c-s-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Balakrishna GK,dr-balakrisna-gk-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ramya Elangovan,dr-ramya-elangovan-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Surya J S,dr-surya-j-s-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Mary Susan K S,dr-mary-susan-k-s-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Lekshmi Narendran,dr-lekshmi-narendran-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Basavaraj Kuntoji,dr-basavaraj-kuntoji-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. S K Krishnan,dr-s-k-krishnan-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. B S Ramesh,dr-b-s-ramesh-1-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Praveen Ramachandra,dr-praveen-ramachandra-endocrinologist-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. John Paul M,dr-john-paul-m-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Saikiran. S,saikiran-s-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sunil Havannavar,dr-sunil-havannavar-gynecologist-obstetrician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Abdul Majid,dr-abdul-majid-dermatologist-cosmetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Annapureddy Sai Praveen Reddy,annapureddy-sai-praveen-reddy-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Kavitha,dr-kavitha-57-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Anusha N D,dr-anusha-n-d-endocrinologist-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Samith A Shetty,dr-samith-a-shetty-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. GANGI REDDY T K,gangi-reddy-t-k-pulmonologist-2,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Pratyush M,dr-pratyush-miglani-internal-medicine,./FinalData\Bangalore\General Physician\,,
Dr. Kamal Bhalla,dr-kamal-ballal-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Nupur Tandon,dr-nupur-tandon,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Kavita Manwani,dr-kavita-manwani-general-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Harish K V,dr-harish-k-v-diabetologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Lorraine S Dias,lorraine-s-dias-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Shanthi Chelliah,293621-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Shankar V,dr-shankar-v-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Niveditha B Karodi,dr-niveditha-b-kerodi-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ashwini N G,dr-ashwini-nettekere-gowdaiah-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Suresh. K. G,dr-suresh-k-g-internal-medicine-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Kashif Syed,kashif-syed-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vasanthakumar R.S,dr-vasanthakumar-r-s-general-practitioner,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Manigandan C,dr-manigandan-c-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sheetal Kamat,sheetal-kamat-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Arun Kumar,dr-arun-kumar-33-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Toby A Thomas,toby-a-thomas-general-physician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Dhruv Gupta,dhruv-gupta-3-family-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Soumya Yeturi,dr-soumya-yeturi-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Santhosh Kumar,dr-santhosh-kumar-9-neurologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Anitha M Dias,dr-anitha-m-dias-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Srividya S,dr-srividya-s-3-gynecologist-obstetrician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Ramya V Raghavan,dr-ramya-v-raghavan-1-internal-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Channaraya V,dr-prof-channaraya-v-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Priti Shankar,dr-priti-shankar-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Deepesh Venkatraman,deepesh-venkatraman-cardiologist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Vijayalakshmi S,dr-vijayalakshmi-s-general-physician-1,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Muralidhara KA,muralidhara-ka-psychiatrist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. V Shreyas Kumar,dr-v-shreyas-kumar-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Kantam D Chakraborty,kantam-d-chakraborty-general-practitioner,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Adarsh Nayak,dr-adarsh-nayak-general-medicine,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Himaaldev G J,dr-himaal-dev-emergency-critical-care,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Kartheek Krishna,kartheek-krishna-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Manohar K N,dr-manohar-kn-physiotherapist,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Naveed,dr-naveed-general-physician,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Sharanya Padma,dr-sharanya-padma-dermatology-and-venorology,./FinalData\Bangalore\General Physician\,General Physician,
Dr. Swetha J,dr-swetha-j-rheumatologist,./FinalData\Bangalore\General Physician\,General Physician,
